1,0.0001,0.0023,0.000024
2,0.0002,0.0038,0.000038
3,0.0003,0.0053,0.000052
4,0.0004,0.0068,0.000066
5,0.0005,0.0083,0.00008
6,0.0006,0.0098,0.000094
7,0.0007,0.0113,0.000108
8,0.0008,0.0128,0.000122
9,0.0009,0.0143,0.000136
10,0.001,0.0158,0.00015
11,0.0011,0.0173,0.000164
12,0.0012,0.0188,0.000178
13,0.0013,0.0203,0.000192
14,0.0014,0.0218,0.000206
15,0.0015,0.0233,0.00022
16,0.0016,0.0248,0.000234
17,0.0017,0.0263,0.000248
18,0.0018,0.0278,0.000262
19,0.0019,0.0293,0.000276
20,0.002,0.0308,0.00029
21,0.0021,0.0323,0.000304
